LocationX,LocationY,Weighting
681515.962119945,6407059.06142358,5
681498.562119945,6407041.91025925,6
681504.362119945,6407041.9099824,6
681134.574108326,6408502.61792906,6
681134.574108326,6408502.61792906,6
681128.774108326,6408503.62178179,6
681244.774108327,6408500.82010007,7
681244.774108327,6408500.82010007,7
681238.974108327,6408501.81874697,7
681238.974108327,6408501.81874697,7
681233.174108327,6408502.81491723,7
681233.174108327,6408502.81491723,7
681227.374108327,6408503.8138052,7
681227.374108327,6408503.8138052,7
681221.574108327,6408504.81067337,7
681221.574108327,6408504.81067337,7
681215.774108326,6408505.80739905,7
681215.774108326,6408505.80739905,7
681209.974108326,6408506.8058457,7
681209.974108326,6408506.8058457,7
681204.174108326,6408507.80190545,7
681204.174108326,6408507.80190545,7
681198.374108326,6408508.79889938,7
681198.374108326,6408508.79889938,7
681192.574108326,6408509.7975617,7
681192.574108326,6408509.7975617,7
681186.774108326,6408510.79402316,7
681186.774108326,6408510.79402316,7
681180.974108326,6408511.79043954,7
681180.974108326,6408511.79043954,7
681175.174108326,6408512.78748124,7
681175.174108326,6408512.78748124,7
681169.374108326,6408513.7824505,7
681169.374108326,6408513.7824505,7
681163.574108326,6408514.77487411,7
681163.574108326,6408514.77487411,7
681157.774108326,6408515.77234917,7
681157.774108326,6408515.77234917,7
681151.974108326,6408516.7691384,7
681151.974108326,6408516.7691384,7
681146.174108326,6408500.62409557,6
681146.174108326,6408500.62409557,6
681140.374108326,6408501.62116929,6
681140.374108326,6408501.62116929,6
681256.374108327,6408533.07494747,5
681256.374108327,6408533.07494747,5
681250.574108327,6408534.06913528,5
681250.574108327,6408534.06913528,5
681510.162119945,6407059.05777981,5
681521.762119945,6407059.06232238,5
680388.012965017,6408910.5563654,8
681139.167833322,6408107.23872186,7
680582.413887528,6406302.59532799,7
680164.813887525,6407037.44646536,7
680591.012965019,6408926.27891963,7
680248.812965016,6408472.3606273,8
680260.412965016,6408489.43550968,7
680208.212965015,6408472.36197966,8
680214.012965015,6408472.36385387,8
680219.812965016,6408472.36161078,8
680225.612965015,6408472.36356726,8
680231.412965016,6408472.36115583,8
680237.212965016,6408472.36265342,8
680243.012965015,6408472.36137322,8
680248.812965016,6408472.3606273,8
680254.612965016,6408489.43701942,7
680260.412965016,6408489.43550968,7
680266.212965016,6408489.43439728,7
680272.012965016,6408489.43403833,7
680277.812965016,6408472.35827934,8
680283.612965016,6408472.35807621,8
680289.412965016,6408472.35458602,8
680295.212965016,6408472.35265551,8
680301.012965016,6408472.35510613,8
680306.812965016,6408472.35257678,8
680312.612965016,6408472.35052299,8
680318.412965016,6408472.34826426,8
680324.212965016,6408472.34805128,8
680330.012965016,6408472.34787934,8
680335.812965016,6408472.34648005,8
680341.612965016,6408472.34574279,8
680347.412965017,6408472.34437497,8
680353.212965016,6408472.34351681,8
680359.012965017,6408472.34185811,8
680364.812965017,6408472.3353441,8
680370.612965017,6408472.33492795,8
680376.412965017,6408472.33877722,8
680382.212965017,6408472.33762658,8
680388.012965017,6408472.33694802,8
680393.812965017,6408472.33587627,8
680399.612965017,6408472.33576385,8
680405.412965017,6408472.33548655,8
680411.212965017,6408472.33557375,8
680440.212965017,6408472.33462303,8
680446.012965017,6408472.33587926,8
680451.812965017,6408472.3363828,8
680457.612965017,6408472.33617987,8
680463.412965017,6408472.3390535,8
680469.212965018,6408472.33910433,8
680475.012965017,6408472.33898977,8
680480.812965018,6408472.33888313,8
680486.612965018,6408472.33948102,8
680492.412965018,6408472.34051451,8
680498.212965018,6408472.34053321,8
680504.012965018,6408472.34062319,8
680509.812965018,6408472.34143255,8
680515.612965018,6408472.34177324,8
680521.412965018,6408472.34193483,8
680527.212965018,6408472.34300426,8
680533.012965018,6408472.34419412,8
680538.812965018,6408472.34434359,8
680544.612965018,6408472.34441337,8
680550.412965018,6408472.34489051,8
680556.212965018,6408472.34518681,8
680562.012965018,6408472.34643861,8
680567.812965018,6408472.34644961,8
680573.612965018,6408472.34770235,8
680579.412965018,6408472.34839855,8
680585.212965018,6408472.34862447,8
680591.012965019,6408472.34890327,8
680596.812965019,6408472.35040972,8
680602.612965019,6408472.34870347,8
680608.412965019,6408472.35009514,8
680614.212965019,6408472.3502169,8
680620.012965019,6408472.35154895,8
680625.812965019,6408489.41753611,7
680631.612965019,6408489.42028018,7
680637.412965019,6408489.42137167,7
680643.212965019,6408489.42000927,7
680649.012965019,6408472.35470922,8
680654.812965019,6408472.35591066,8
680660.612965019,6408472.35641246,8
680666.412965019,6408472.35672927,8
680672.212965019,6408472.36127619,8
680678.012965019,6408472.36318057,8
680683.812965019,6408472.36339811,8
680689.612965019,6408472.36385228,8
680695.412965019,6408472.3624196,8
680701.212965019,6408472.36351627,8
680707.012965019,6408472.36523186,8
680712.812965019,6408472.36622025,8
680718.61296502,6408472.36791245,8
680724.412965019,6408472.37013429,8
680730.21296502,6408472.37262345,8
680736.01296502,6408472.37417478,8
680741.81296502,6408472.37437447,8
680747.61296502,6408472.37530057,8
680753.41296502,6408472.37528417,8
680759.21296502,6408472.376255,8
680765.01296502,6408472.37640402,8
680770.81296502,6408472.37786421,8
680776.61296502,6408472.37693969,8
680782.41296502,6408472.37798104,8
680788.21296502,6408472.37732692,8
680417.012965017,6408489.40597045,7
680422.812965017,6408489.40479106,7
680428.612965017,6408489.40480731,7
680434.412965017,6408489.40440786,7
680208.212965015,6408472.36197966,8
680214.012965015,6408472.36385387,8
680219.812965016,6408472.36161078,8
680225.612965015,6408472.36356726,8
680231.412965016,6408472.36115583,8
680237.212965016,6408472.36265342,8
680243.012965015,6408472.36137322,8
680254.612965016,6408489.43701942,7
680277.812965016,6408472.35827934,8
680283.612965016,6408472.35807621,8
680289.412965016,6408472.35458602,8
680295.212965016,6408472.35265551,8
680301.012965016,6408472.35510613,8
680306.812965016,6408472.35257678,8
680312.612965016,6408472.35052299,8
680318.412965016,6408472.34826426,8
680324.212965016,6408472.34805128,8
680330.012965016,6408472.34787934,8
680335.812965016,6408472.34648005,8
680341.612965016,6408472.34574279,8
680347.412965017,6408472.34437497,8
680353.212965016,6408472.34351681,8
680359.012965017,6408472.34185811,8
680364.812965017,6408472.3353441,8
680370.612965017,6408472.33492795,8
680376.412965017,6408472.33877722,8
680382.212965017,6408472.33762658,8
680388.012965017,6408472.33694802,8
680393.812965017,6408472.33587627,8
680399.612965017,6408472.33576385,8
680405.412965017,6408472.33548655,8
