Easting,Northing,Weighting,Cluster_220,Cluster_480
679857.413887522,6406286.74245159,16.0,0,0
679857.413887522,6406478.69835995,2.0,1,5
679863.213887522,6406286.7399796,16.0,0,0
679863.213887522,6406478.69796614,2.0,1,5
679869.013887523,6406286.73795462,16.0,0,0
679869.013887523,6406512.73996539,4.0,1,5
679874.813887523,6406286.73635432,16.0,0,0
679874.813887523,6406512.73703504,4.0,1,5
679880.613887523,6406286.73487128,16.0,0,0
679880.613887523,6406512.73609668,4.0,1,5
679886.413887523,6406286.7323293,16.0,0,0
679886.413887523,6406512.73601191,4.0,1,5
679892.213887523,6406286.7296557,16.0,2,0
679892.213887523,6406512.73498898,4.0,1,5
679892.213887523,6406656.27544626,4.0,3,1
679898.013887523,6406286.72793767,16.0,2,0
679898.013887523,6406512.73162129,4.0,1,5
679898.013887523,6406656.2776162,4.0,3,1
679903.813887523,6406286.72756393,16.0,2,0
679903.813887523,6406512.72828209,4.0,1,5
679903.813887523,6406656.28153108,4.0,3,1
679909.613887523,6406286.72672215,16.0,2,0
679909.613887523,6406512.72800229,4.0,1,5
679909.613887523,6406656.2822963,4.0,3,1
679915.413887523,6406286.7277785,16.0,4,2
679915.413887523,6406512.72826095,4.0,1,5
679915.413887523,6406725.90725653,16.0,5,1
679921.213887523,6406286.72769117,16.0,4,2
679921.213887523,6406512.72742697,4.0,1,5
679921.213887523,6406725.90943713,16.0,3,1
679927.013887523,6406286.72653677,16.0,0,0
679927.013887523,6406512.72497847,4.0,1,5
679927.013887523,6406725.90917282,16.0,3,1
679932.813887523,6406286.72457701,16.0,2,0
679932.813887523,6406512.72167697,4.0,1,5
679932.813887523,6406725.90961765,16.0,3,1
679938.613887523,6406286.72388005,16.0,2,0
679938.613887523,6406512.70931729,4.0,1,5
679938.613887523,6406725.90897104,16.0,3,1
679944.413887523,6406286.7247429,16.0,2,0
679944.413887523,6406512.70541635,4.0,1,5
679944.413887523,6406725.90732176,16.0,5,1
679944.413887523,6406951.97872005,4.0,6,3
679950.213887523,6406286.72368668,16.0,4,2
679950.213887523,6406512.70065262,4.0,1,5
679950.213887523,6406725.90566501,16.0,5,1
679950.213887523,6406951.97880943,4.0,6,3
679956.013887523,6406286.7232944,16.0,4,2
679956.013887523,6406512.69597523,4.0,1,5
679956.013887523,6406725.90431095,16.0,5,1
679956.013887523,6406951.97685811,4.0,6,3
679961.813887523,6406286.72340305,16.0,2,0
679961.813887523,6406529.76268889,3.0,1,5
679961.813887523,6406725.90464278,16.0,5,1
679961.813887523,6406951.97688541,4.0,6,3
679967.613887523,6406286.72294724,16.0,2,0
679967.613887523,6406529.76011967,3.0,1,5
679967.613887523,6406725.90524393,16.0,3,1
679967.613887523,6407021.63360087,16.0,6,3
679973.413887523,6406286.72360015,16.0,2,0
679973.413887523,6406529.75692681,3.0,1,5
679973.413887523,6406725.90568864,16.0,3,1
679973.413887523,6407021.63307555,16.0,6,3
679979.213887524,6406286.72210913,16.0,2,0
