Easting,Northing,Weighting,Cluster_240,Cluster_480,Cluster_Parent,Cluster_Sub
679907.413887522,6406286.74245159,16.0,0,0,0,29
679907.413887522,6406478.69835995,2.0,22,12,12,386
679913.213887522,6406286.7399796,16.0,0,0,0,27
679913.213887522,6406478.69796614,2.0,22,12,12,386
679919.013887523,6406286.73795462,16.0,0,0,0,25
679919.013887523,6406512.73996539,4.0,22,12,12,385
679924.813887523,6406286.73635432,16.0,0,0,0,23
679924.813887523,6406512.73703504,4.0,22,12,12,385
679930.613887523,6406286.73487128,16.0,0,0,0,21
679930.613887523,6406512.73609668,4.0,22,12,12,385
679936.413887523,6406286.7323293,16.0,0,0,0,19
679936.413887523,6406512.73601191,4.0,22,12,12,384
679942.213887523,6406286.7296557,16.0,0,0,0,16
679942.213887523,6406512.73498898,4.0,22,12,12,384
679942.213887523,6406656.27544626,4.0,97,12,12,371
679948.013887523,6406286.72793767,16.0,0,0,0,14
679948.013887523,6406512.73162129,4.0,22,12,12,384
679948.013887523,6406656.2776162,4.0,97,12,12,371
679953.813887523,6406286.72756393,16.0,0,0,0,12
679953.813887523,6406512.72828209,4.0,22,12,12,384
679953.813887523,6406656.28153108,4.0,97,12,12,371
679959.613887523,6406286.72672215,16.0,0,0,0,10
679959.613887523,6406512.72800229,4.0,22,12,12,383
679959.613887523,6406656.2822963,4.0,22,12,12,371
679965.413887523,6406286.7277785,16.0,0,0,0,8
679965.413887523,6406512.72826095,4.0,22,12,12,383
679965.413887523,6406725.90725653,16.0,22,12,12,377
679971.213887523,6406286.72769117,16.0,0,0,0,6
679971.213887523,6406512.72742697,4.0,22,12,12,382
679971.213887523,6406725.90943713,16.0,22,12,12,375
679977.013887523,6406286.72653677,16.0,0,0,0,4
679977.013887523,6406512.72497847,4.0,22,12,12,382
679977.013887523,6406725.90917282,16.0,22,12,12,373
679982.813887523,6406286.72457701,16.0,0,0,0,2
679982.813887523,6406512.72167697,4.0,22,12,12,381
679982.813887523,6406725.90961765,16.0,22,12,12,372
679988.613887523,6406286.72388005,16.0,0,0,0,1
679988.613887523,6406512.70931729,4.0,22,12,12,382
679988.613887523,6406725.90897104,16.0,22,12,12,374
679994.413887523,6406286.7247429,16.0,1,0,0,0
679994.413887523,6406512.70541635,4.0,22,12,12,382
679994.413887523,6406725.90732176,16.0,22,12,12,376
679994.413887523,6406951.97872005,4.0,97,12,12,386
680000.213887523,6406286.72368668,16.0,1,0,0,3
680000.213887523,6406512.70065262,4.0,22,12,12,383
680000.213887523,6406725.90566501,16.0,22,12,12,378
680000.213887523,6406951.97880943,4.0,97,12,12,386
680006.013887523,6406286.7232944,16.0,1,0,0,5
680006.013887523,6406512.69597523,4.0,22,12,12,383
680006.013887523,6406725.90431095,16.0,22,12,12,379
680006.013887523,6406951.97685811,4.0,97,12,12,386
680011.813887523,6406286.72340305,16.0,1,0,0,7
680011.813887523,6406529.76268889,3.0,22,12,12,381
680011.813887523,6406725.90464278,16.0,22,12,12,380
680011.813887523,6406951.97688541,4.0,97,12,12,387
680017.613887523,6406286.72294724,16.0,1,0,0,9
680017.613887523,6406529.76011967,3.0,22,12,12,381
680017.613887523,6406725.90524393,16.0,23,13,13,421
680017.613887523,6407021.63360087,16.0,97,12,12,388
680023.413887523,6406286.72360015,16.0,1,0,0,11
680023.413887523,6406529.75692681,3.0,22,12,12,381
680023.413887523,6406725.90568864,16.0,23,13,13,419
680023.413887523,6407021.63307555,16.0,97,12,12,389
680029.213887524,6406286.72210913,16.0,1,0,0,13
680029.213887524,6406529.75306647,3.0,22,12,12,381
680029.213887524,6406725.90594226,16.0,23,13,13,417
680029.213887524,6407021.63189212,16.0,97,12,12,390
680035.013887523,6406286.72244122,16.0,1,0,0,15
680035.013887523,6406512.68146966,4.0,22,12,12,385
680035.013887523,6406725.90347058,16.0,23,13,13,415
680035.013887524,6407021.63281401,16.0,97,12,12,391
680040.813887524,6406286.72316525,16.0,1,0,0,17
680040.813887524,6406512.67802145,4.0,21,11,11,369
680040.813887524,6406725.9022906,16.0,23,13,13,412
680040.813887524,6407021.63199939,16.0,96,54,54,1570
680046.613887524,6406286.72313059,16.0,1,0,0,18
680046.613887524,6406512.6745105,4.0,21,11,11,367
680046.613887524,6406725.90110136,16.0,23,13,13,410
680046.613887524,6407021.63200315,16.0,96,54,54,1568
680052.413887524,6406286.72305176,16.0,1,0,0,20
680052.413887524,6406512.67158325,4.0,21,11,11,365
680052.413887524,6406725.90120964,16.0,23,13,13,408
680052.413887524,6407038.69764891,14.0,96,54,54,1567
680058.213887524,6406286.72277489,16.0,1,0,0,22
680058.213887524,6406512.68634352,4.0,21,11,11,363
680058.213887524,6406725.90164829,16.0,23,13,13,407
680058.213887524,6407038.69826791,14.0,96,54,54,1565
680064.013887524,6406286.72201858,16.0,1,0,0,24
680064.013887524,6406512.690087,4.0,21,11,11,361
680064.013887524,6406725.90255137,16.0,23,13,13,405
680064.013887524,6407038.69754498,14.0,96,54,54,1563
680069.813887524,6406286.72242008,16.0,1,0,0,26
680069.813887524,6406512.6929199,4.0,21,11,11,359
680069.813887524,6406725.90222186,16.0,23,13,13,403
680069.813887524,6407038.69720222,14.0,96,54,54,1561
680075.613887524,6406286.72176564,16.0,1,0,0,28
680075.613887524,6406512.69726068,4.0,21,11,11,357
680075.613887524,6406725.90261282,16.0,23,13,13,401
680075.613887524,6407021.62905187,16.0,96,54,54,1559
680081.413887524,6406303.77797685,14.0,2,1,1,61
680081.413887524,6406512.69867123,4.0,21,11,11,355
680081.413887524,6406725.90112941,16.0,23,13,13,398
680081.413887524,6407021.63051305,16.0,96,54,54,1557
680087.213887524,6406303.77695821,14.0,2,1,1,59
680087.213887524,6406512.70193824,4.0,21,11,11,353
680087.213887524,6406725.89929448,16.0,23,13,13,396
680087.213887524,6407021.62999014,16.0,96,54,54,1555
680093.013887524,6406303.77641222,14.0,2,1,1,57
680093.013887524,6406512.70270604,4.0,21,11,11,351
680093.013887524,6406725.89886478,16.0,23,13,13,394
680093.013887524,6407021.62994639,16.0,96,54,54,1553
680098.813887524,6406303.77563325,14.0,2,1,1,55
680098.813887524,6406512.70317829,4.0,21,11,11,349
680098.813887524,6406725.89812863,16.0,23,13,13,392
680098.813887524,6407021.63217043,16.0,96,54,54,1551
680104.613887524,6406303.77448766,14.0,2,1,1,53
680104.613887524,6406512.70231589,4.0,21,11,11,346
680104.613887524,6406725.89723813,16.0,24,13,13,393
680104.613887524,6407021.63129714,16.0,96,54,54,1549
680110.413887524,6406303.77449307,14.0,2,1,1,51
680110.413887524,6406512.70234229,4.0,21,11,11,344
680110.413887524,6406725.89721207,16.0,24,13,13,395
680110.413887524,6407021.63185753,16.0,96,54,54,1547
680116.213887524,6406303.77311387,14.0,2,1,1,49
680116.213887524,6406512.70421115,4.0,21,11,11,342
680116.213887524,6406725.89676127,16.0,24,13,13,397
680116.213887524,6407021.63244783,16.0,96,54,54,1544
680122.013887524,6406303.77275719,14.0,2,1,1,47
680122.013887524,6406512.70535652,4.0,21,11,11,340
680122.013887524,6406725.89683253,16.0,24,13,13,399
680122.013887524,6407021.63243407,16.0,96,54,54,1542
680126.865005412,6407742.40391686,12.0,88,51,51,1493
680127.813887524,6406303.77275005,14.0,2,1,1,45
680127.813887524,6406512.70485886,4.0,21,11,11,338
680127.813887524,6406725.89690488,16.0,24,13,13,400
680127.813887524,6407021.63241978,16.0,95,54,54,1543
680132.665005412,6407741.4068617,12.0,88,51,51,1492
680133.613887524,6406303.77199186,14.0,2,1,1,43
680133.613887524,6406512.70877909,4.0,21,11,11,336
680133.613887524,6406725.89708727,16.0,24,13,13,402
680133.613887524,6407021.63150517,16.0,95,54,54,1545
680138.465005413,6407740.41258584,12.0,88,51,51,1491
680138.465005413,6407898.19297884,2.0,88,51,51,1481
680139.413887524,6406303.77098241,14.0,2,1,1,41
680139.413887524,6406512.71504247,4.0,21,11,11,334
680139.413887524,6406725.8965685,16.0,24,13,13,404
680139.413887524,6407021.63255927,16.0,95,54,54,1546
680144.265005413,6407739.41607644,12.0,88,51,51,1490
680144.265005413,6407914.24967204,3.0,88,51,51,1481
680145.213887524,6406303.77125844,14.0,2,1,1,39
680145.213887524,6406512.71921809,4.0,21,11,11,332
680145.213887524,6406725.89682241,16.0,24,13,13,406
680145.213887524,6407021.63278007,16.0,95,54,54,1548
680150.065005413,6407738.41882989,12.0,88,51,51,1489
680150.065005413,6407913.25296127,3.0,88,51,51,1481
680151.013887524,6406303.7710721,14.0,2,1,1,37
680151.013887524,6406512.72598721,4.0,21,11,11,330
680151.013887524,6406725.89613889,16.0,24,13,13,409
680151.013887524,6407021.6324334,16.0,95,54,54,1550
680155.865005413,6407737.42118523,12.0,88,51,51,1488
680155.865005413,6407912.25434067,3.0,88,51,51,1480
680156.813887524,6406303.77065573,14.0,2,1,1,35
680156.813887524,6406512.73171094,4.0,21,11,11,330
680156.813887524,6406725.89572037,16.0,24,13,13,411
680156.813887525,6407021.63062933,16.0,95,54,54,1552
680161.665005413,6407736.42339773,12.0,88,51,51,1487
680161.665005413,6407911.25724319,3.0,88,51,51,1479
680162.613887524,6406303.7715103,14.0,2,1,1,33
680162.613887524,6406512.73928536,4.0,21,11,11,329
680162.613887524,6406725.89524986,16.0,24,13,13,413
680162.613887524,6407021.63082311,16.0,95,54,54,1554
680167.465005413,6407735.42616547,12.0,88,51,51,1486
680167.465005413,6407927.27218494,4.0,88,51,51,1480
680168.413887525,6406303.77214095,14.0,2,1,1,31
680168.413887525,6406512.74453955,4.0,21,11,11,329
680168.413887525,6406725.89544996,16.0,24,13,13,414
680168.413887525,6407021.63099272,16.0,95,54,54,1556
680173.265005413,6407734.42948709,12.0,88,51,51,1485
680173.265005413,6407926.27512613,4.0,88,51,51,1480
680174.213887525,6406303.77295945,14.0,2,1,1,30
680174.213887525,6406512.74894037,4.0,21,11,11,329
680174.213887525,6406725.89531997,16.0,24,13,13,416
680174.213887525,6407021.6310903,16.0,95,54,54,1558
680179.065005413,6407733.43325537,12.0,88,51,51,1484
680179.065005413,6407925.27795418,4.0,88,51,51,1479
680180.013887525,6406303.77341015,14.0,3,1,1,32
680180.013887525,6406512.7525231,4.0,21,11,11,328
680180.013887525,6406725.89495075,16.0,24,13,13,418
680180.013887525,6407021.63054707,16.0,95,54,54,1560
680184.865005413,6407732.43678689,12.0,87,50,50,1465
680184.865005413,6407924.28090784,4.0,88,51,51,1478
680185.813887525,6406303.77507018,14.0,3,1,1,34
680185.813887525,6406512.75330435,4.0,21,11,11,328
680185.813887525,6406725.89467359,16.0,24,13,13,420
680185.813887525,6407021.63142091,16.0,95,54,54,1562
680190.665005413,6407731.43908451,12.0,87,50,50,1464
680190.665005413,6407923.28363015,4.0,88,51,51,1478
680191.613887525,6406303.77589036,14.0,3,1,1,36
680191.613887525,6406512.75293921,4.0,21,11,11,327
680191.613887525,6406725.89430902,16.0,25,14,14,459
680191.613887525,6407021.62980752,16.0,95,54,54,1564
680196.465005413,6407765.87817554,4.0,87,50,50,1463
680196.465005413,6407922.28666051,4.0,88,51,51,1477
680197.413887525,6406303.77854106,14.0,3,1,1,38
680197.413887525,6406512.75421246,4.0,21,11,11,326
680197.413887525,6406725.89375958,16.0,25,14,14,458
680197.413887525,6407021.62983431,16.0,95,54,54,1566
680200.212965015,6408178.03443089,4.0,86,50,50,1471
680202.265005413,6407764.88104716,4.0,87,50,50,1463
680202.265005413,6407921.28957642,4.0,88,51,51,1477
680203.213887525,6406303.78045584,14.0,3,1,1,40
680203.213887525,6406512.75452768,4.0,21,11,11,326
680203.213887525,6406725.89314471,16.0,25,14,14,457
680203.213887525,6407021.62987567,16.0,95,54,54,1569
680206.012965015,6408178.03407356,4.0,86,50,50,1469
680208.065005413,6407763.88358951,4.0,87,50,50,1463
680208.065005413,6407920.29247551,4.0,88,51,51,1476
680209.013887525,6406303.78320756,14.0,3,1,1,42
680209.013887525,6406512.74577983,4.0,21,11,11,326
680209.013887525,6406725.8926901,16.0,25,14,14,455
680209.013887525,6407021.62996878,16.0,95,54,54,1571
680211.812965015,6408193.69121435,14.0,86,50,50,1472
680213.865005413,6407762.88406758,4.0,87,50,50,1463
680213.865005413,6407919.29531707,4.0,88,51,51,1476
680214.813887525,6406303.78543739,14.0,3,1,1,44
680214.813887525,6406512.74582357,4.0,21,11,11,327
680214.813887525,6406725.89256521,16.0,25,14,14,453
680214.813887525,6407037.44646536,14.0,94,14,14,438
680217.612965015,6408193.69170893,14.0,86,50,50,1470
680219.665005413,6407761.88695003,4.0,87,50,50,1462
680219.665005413,6407918.29805076,4.0,88,51,51,1476
680220.613887525,6406303.78865682,14.0,3,1,1,46
680220.613887525,6406512.74581181,4.0,21,11,11,327
680220.613887525,6406725.89221938,16.0,25,14,14,451
680220.613887525,6407021.72776762,12.0,94,14,14,435
680223.412965015,6408193.69232617,14.0,86,50,50,1468
680225.465005413,6407760.89224142,4.0,87,50,50,1461
680225.465005413,6407917.30095869,4.0,88,51,51,1476
680226.413887525,6406303.79133852,14.0,3,1,1,48
680226.413887525,6406512.74574103,4.0,21,11,11,328
