--- Pass 1 (240-capacity) ---
Cluster 0: Total Weight = 240.00
Cluster 1: Total Weight = 240.00
Cluster 2: Total Weight = 240.00
Cluster 3: Total Weight = 240.00
Cluster 4: Total Weight = 240.00
Cluster 5: Total Weight = 239.00
Cluster 6: Total Weight = 240.00
Cluster 7: Total Weight = 240.00
Cluster 8: Total Weight = 240.00
Cluster 9: Total Weight = 240.00
Cluster 10: Total Weight = 240.00
Cluster 11: Total Weight = 240.00
Cluster 12: Total Weight = 240.00
Cluster 13: Total Weight = 240.00
Cluster 14: Total Weight = 240.00
Cluster 15: Total Weight = 240.00
Cluster 16: Total Weight = 240.00
Cluster 17: Total Weight = 240.00
Cluster 18: Total Weight = 240.00
Cluster 19: Total Weight = 240.00
Cluster 20: Total Weight = 240.00
Cluster 21: Total Weight = 240.00
Cluster 22: Total Weight = 240.00
Cluster 23: Total Weight = 232.00
Cluster 24: Total Weight = 240.00
Cluster 25: Total Weight = 240.00
Cluster 26: Total Weight = 240.00
Cluster 27: Total Weight = 240.00
Cluster 28: Total Weight = 240.00
Cluster 29: Total Weight = 138.00
Cluster 30: Total Weight = 240.00
Cluster 31: Total Weight = 240.00
Cluster 32: Total Weight = 240.00
Cluster 33: Total Weight = 240.00
Cluster 34: Total Weight = 240.00
Cluster 35: Total Weight = 240.00
Cluster 36: Total Weight = 240.00
Cluster 37: Total Weight = 239.00
Cluster 38: Total Weight = 240.00
Cluster 39: Total Weight = 240.00
Cluster 40: Total Weight = 240.00
Cluster 41: Total Weight = 240.00
Cluster 42: Total Weight = 240.00
Cluster 43: Total Weight = 205.00
Cluster 44: Total Weight = 236.00
Cluster 45: Total Weight = 240.00
Cluster 46: Total Weight = 240.00
Cluster 47: Total Weight = 238.00
Cluster 48: Total Weight = 240.00
Cluster 49: Total Weight = 240.00
Cluster 50: Total Weight = 240.00
Cluster 51: Total Weight = 239.00
Cluster 52: Total Weight = 221.00
Cluster 53: Total Weight = 240.00
Cluster 54: Total Weight = 240.00
Cluster 55: Total Weight = 240.00
Cluster 56: Total Weight = 239.00
Cluster 57: Total Weight = 238.00
Cluster 58: Total Weight = 240.00
Cluster 59: Total Weight = 240.00
Cluster 60: Total Weight = 239.00
Cluster 61: Total Weight = 240.00
Cluster 62: Total Weight = 240.00
Cluster 63: Total Weight = 240.00
Cluster 64: Total Weight = 240.00
Cluster 65: Total Weight = 239.00
Cluster 66: Total Weight = 239.00
Cluster 67: Total Weight = 240.00
Cluster 68: Total Weight = 240.00
Cluster 69: Total Weight = 240.00
Cluster 70: Total Weight = 240.00
Cluster 71: Total Weight = 240.00
Cluster 72: Total Weight = 240.00
Cluster 73: Total Weight = 240.00
Cluster 74: Total Weight = 239.00
Cluster 75: Total Weight = 238.00
Cluster 76: Total Weight = 240.00
Cluster 77: Total Weight = 240.00
Cluster 78: Total Weight = 240.00
Cluster 79: Total Weight = 240.00
Cluster 80: Total Weight = 240.00
Cluster 81: Total Weight = 240.00
Cluster 82: Total Weight = 240.00
Cluster 83: Total Weight = 240.00
Cluster 84: Total Weight = 240.00
Cluster 85: Total Weight = 240.00
Cluster 86: Total Weight = 240.00
Cluster 87: Total Weight = 240.00
Cluster 88: Total Weight = 239.00
Cluster 89: Total Weight = 240.00
Cluster 90: Total Weight = 240.00
Cluster 91: Total Weight = 240.00
Cluster 92: Total Weight = 240.00
Cluster 93: Total Weight = 240.00
Cluster 94: Total Weight = 240.00
Cluster 95: Total Weight = 240.00
Cluster 96: Total Weight = 240.00
--- Pass 2 (merged-480-capacity) ---
Cluster 0: Total Weight = 480.00
Cluster 1: Total Weight = 480.00
Cluster 2: Total Weight = 480.00
Cluster 3: Total Weight = 480.00
Cluster 4: Total Weight = 480.00
Cluster 5: Total Weight = 479.00
Cluster 6: Total Weight = 480.00
Cluster 7: Total Weight = 480.00
Cluster 8: Total Weight = 480.00
Cluster 9: Total Weight = 480.00
Cluster 10: Total Weight = 480.00
Cluster 11: Total Weight = 479.00
Cluster 12: Total Weight = 480.00
Cluster 13: Total Weight = 480.00
Cluster 14: Total Weight = 480.00
Cluster 15: Total Weight = 480.00
Cluster 16: Total Weight = 480.00
Cluster 17: Total Weight = 480.00
Cluster 18: Total Weight = 480.00
Cluster 19: Total Weight = 480.00
Cluster 20: Total Weight = 480.00
Cluster 21: Total Weight = 478.00
Cluster 22: Total Weight = 480.00
Cluster 23: Total Weight = 472.00
Cluster 24: Total Weight = 480.00
Cluster 26: Total Weight = 480.00
Cluster 27: Total Weight = 480.00
Cluster 28: Total Weight = 480.00
Cluster 29: Total Weight = 376.00
Cluster 30: Total Weight = 240.00
Cluster 31: Total Weight = 480.00
Cluster 32: Total Weight = 480.00
Cluster 34: Total Weight = 480.00
Cluster 35: Total Weight = 479.00
Cluster 37: Total Weight = 479.00
Cluster 40: Total Weight = 480.00
Cluster 41: Total Weight = 480.00
Cluster 42: Total Weight = 479.00
Cluster 43: Total Weight = 445.00
Cluster 44: Total Weight = 474.00
Cluster 46: Total Weight = 480.00
Cluster 50: Total Weight = 479.00
Cluster 52: Total Weight = 461.00
Cluster 56: Total Weight = 479.00
Cluster 59: Total Weight = 479.00
Cluster 61: Total Weight = 480.00
Cluster 64: Total Weight = 480.00
Cluster 65: Total Weight = 479.00
Cluster 83: Total Weight = 480.00
